date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:40	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:40	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-bg_glass_95_fef1ec_1x400.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-bg_glass_95_fef1ec_1x400.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:40	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-icons_469bdd_256x240.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-icons_469bdd_256x240.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:41	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-icons_d8e7f3_256x240.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-icons_d8e7f3_256x240.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:41	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-icons_6da8d5_256x240.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-icons_6da8d5_256x240.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:41	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-icons_217bc0_256x240.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-icons_217bc0_256x240.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:42	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-icons_f9bd01_256x240.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-icons_f9bd01_256x240.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:42	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-icons_2e83ff_256x240.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-icons_2e83ff_256x240.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:42	315/315	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20May%202020%2000:22:50%20GMT	http://www.techshore.com/assets/css/images/ui-icons_cd0a0a_256x240.html	D:/WEBSITE/techshore/www.techshore.com/assets/css/images/ui-icons_cd0a0a_256x240.html	(from http://www.techshore.com/assets/css/jquery-ui.min.css)
01:31:42	673/673	U-----	200	untouched ('')	image/gif	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/ajax-loader.gif	D:/WEBSITE/techshore/www.techshore.com/assets/images/ajax-loader.gif	(from http://www.techshore.com/assets/css/slick-theme.css)
01:31:43	2048/2048	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/fonts/slick.eot	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/slick.eot	(from http://www.techshore.com/assets/css/slick-theme.css)
01:31:43	2048/2048	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/fonts/slickd41d.eot?	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/slickd41dd41d.eot	(from http://www.techshore.com/assets/css/slick-theme.css)
01:31:43	1380/1380	U-----	200	untouched ('')	font/woff	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/fonts/slick.woff	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/slick.woff	(from http://www.techshore.com/assets/css/slick-theme.css)
01:31:44	2152/2152	U-----	200	untouched ('OK')	image/svg+xml	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/fonts/slick.svg	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/slick.svg	(from http://www.techshore.com/assets/css/slick-theme.css)
01:31:44	1892/1892	U-----	200	untouched ('')	font/ttf	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/fonts/slick.ttf	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/slick.ttf	(from http://www.techshore.com/assets/css/slick-theme.css)
01:31:44	127340/127340	U-----	200	untouched ('')	font/ttf	date:Mon,%2019%20Dec%202022%2005:58:59%20GMT	http://www.techshore.com/assets/fonts/RobotoCondensed-Bold.ttf	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/RobotoCondensed-Bold.ttf	(from http://www.techshore.com/style.css)
01:31:44	57392/57392	U-----	200	untouched ('')	font/ttf	date:Mon,%2001%20Oct%202012%2011:00:00%20GMT	http://www.techshore.com/assets/fonts/TitilliumWeb-Regular.ttf	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/TitilliumWeb-Regular.ttf	(from http://www.techshore.com/style.css)
01:31:44	269584/269584	U-----	200	untouched ('')	font/ttf	date:Wed,%2015%20Dec%202010%2011:00:00%20GMT	http://www.techshore.com/assets/fonts/Ubuntu-Bold.ttf	D:/WEBSITE/techshore/www.techshore.com/assets/fonts/Ubuntu-Bold.ttf	(from http://www.techshore.com/style.css)
01:31:45	424173/424173	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/banners/1.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/1.jpg	(from http://www.techshore.com/style.css)
01:31:45	88086/88086	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/banners/2.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/2.jpg	(from http://www.techshore.com/style.css)
01:31:45	181411/181411	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/banners/4.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/4.jpg	(from http://www.techshore.com/style.css)
01:31:45	101152/101152	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/banners/3.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/3.jpg	(from http://www.techshore.com/style.css)
01:31:45	98187/98187	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/bg/1.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/bg/1.jpg	(from http://www.techshore.com/style.css)
01:31:45	93648/93648	U-----	200	untouched ('')	image/jpeg	date:Sat,%2006%20Jun%202020%2023:25:56%20GMT	http://www.techshore.com/assets/images/events/1.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/events/1.jpg	(from http://www.techshore.com/style.css)
01:31:46	71160/71160	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/bg/6.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/bg/6.jpg	(from http://www.techshore.com/style.css)
01:31:46	49205/49205	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/bg/2.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/bg/2.jpg	(from http://www.techshore.com/style.css)
01:31:46	64467/64467	U-----	200	untouched ('')	image/jpeg	date:Thu,%2009%20May%202019%2000:38:44%20GMT	http://www.techshore.com/assets/images/bg/3.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/bg/3.jpg	(from http://www.techshore.com/style.css)
01:31:46	284028/284028	U-----	200	untouched ('')	image/jpeg	date:Sat,%2009%20May%202020%2001:08:44%20GMT	http://www.techshore.com/assets/images/bg/5.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/bg/5.jpg	(from http://www.techshore.com/style.css)
01:31:46	260952/260952	U-----	200	untouched ('')	image/jpeg	date:Wed,%2024%20Jun%202020%2018:10:56%20GMT	http://www.techshore.com/assets/images/banners/slide1.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/slide1.jpg	(from http://www.techshore.com/style.css)
01:31:47	129755/129755	U-----	200	untouched ('')	image/jpeg	date:Wed,%2024%20Jun%202020%2018:10:56%20GMT	http://www.techshore.com/assets/images/banners/slide3.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/slide3.jpg	(from http://www.techshore.com/style.css)
01:31:47	102478/102478	U-----	200	untouched ('')	image/jpeg	date:Wed,%2024%20Jun%202020%2018:10:56%20GMT	http://www.techshore.com/assets/images/banners/slide2.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/slide2.jpg	(from http://www.techshore.com/style.css)
01:31:47	123333/123333	U-----	200	untouched ('')	image/jpeg	date:Wed,%2024%20Jun%202020%2018:10:56%20GMT	http://www.techshore.com/assets/images/banners/slide5.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/slide5.jpg	(from http://www.techshore.com/style.css)
01:31:47	270121/270121	U-----	200	untouched ('')	image/jpeg	date:Wed,%2024%20Jun%202020%2018:10:56%20GMT	http://www.techshore.com/assets/images/banners/slide4.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/slide4.jpg	(from http://www.techshore.com/style.css)
01:31:47	176447/176447	U-----	200	untouched ('')	image/jpeg	date:Wed,%2024%20Jun%202020%2018:10:56%20GMT	http://www.techshore.com/assets/images/banners/slide7.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/slide7.jpg	(from http://www.techshore.com/style.css)
01:31:47	84823/84823	U-----	200	untouched ('')	image/jpeg	date:Wed,%2024%20Jun%202020%2018:10:56%20GMT	http://www.techshore.com/assets/images/banners/slide6.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/slide6.jpg	(from http://www.techshore.com/style.css)
01:31:48	93266/93266	U-----	200	untouched ('')	image/jpeg	date:Tue,%2012%20May%202020%2005:49:02%20GMT	http://www.techshore.com/assets/images/banners/55.jpg	D:/WEBSITE/techshore/www.techshore.com/assets/images/banners/55.jpg	(from http://www.techshore.com/style.css)
